,e1,e2,time,r
6134,SZ002415,SZ002010,2018-02-27 00:00:00,cooperate
8067,SZ002304,SZ002508,2018-02-27 00:00:00,fall
6274,SZ002010,SZ002415,2018-02-27 00:00:00,cooperate
85,SH601377,SH600999,2018-02-27 22:13:00,same_industry
142,SH600999,SH601377,2018-02-27 22:13:00,same_industry
11755,SZ002174,SZ002925,2018-02-28 00:00:00,reduce_holding
12861,SZ002673,SZ300104,2018-02-28 00:00:00,dispute
11750,SZ002925,SZ002174,2018-02-28 00:00:00,reduce_holding
12805,SZ300104,SZ002673,2018-02-28 00:00:00,dispute
4888,SZ002555,SH600918,2018-02-28 00:00:00,increase_holding
4221,SH600918,SZ002555,2018-02-28 00:00:00,increase_holding
5547,SZ300450,SH601099,2018-03-01 00:00:00,supply
8579,SH603369,SZ002304,2018-03-01 00:00:00,fall
8073,SZ002304,SH603369,2018-03-01 00:00:00,fall
2689,SZ300408,SH601099,2018-03-01 00:00:00,same_industry
2162,SH601099,SZ300408,2018-03-01 00:00:00,same_industry
11769,SH603833,SH601099,2018-03-01 00:00:00,reduce_holding
11765,SH601099,SH603833,2018-03-01 00:00:00,reduce_holding
5457,SH601099,SZ300450,2018-03-01 00:00:00,supply
17,SZ300676,SZ002594,2018-03-01 22:23:00,same_industry
1852,SZ002594,SZ300676,2018-03-01 22:23:00,same_industry
1998,SZ002174,SH600050,2018-03-02 00:00:00,same_industry
1543,SH600050,SZ002174,2018-03-02 00:00:00,same_industry
4005,SZ002558,SZ002027,2018-03-02 00:00:00,same_industry
12724,SH601377,SZ300104,2018-03-02 00:00:00,dispute
6191,SZ300750,SH600104,2018-03-02 00:00:00,cooperate
1622,SZ002410,SH601099,2018-03-02 00:00:00,same_industry
2165,SH601099,SZ002410,2018-03-02 00:00:00,same_industry
12811,SZ300104,SH601377,2018-03-02 00:00:00,dispute
5962,SH600104,SZ300750,2018-03-02 00:00:00,cooperate
3254,SZ002027,SZ002558,2018-03-02 00:00:00,same_industry
2825,SH600406,SH601877,2018-03-05 00:00:00,same_industry
6903,SH600795,SH601088,2018-03-05 00:00:00,cooperate
12810,SZ300104,SH601688,2018-03-05 00:00:00,dispute
1466,SH601877,SH600406,2018-03-05 00:00:00,same_industry
12939,SH601688,SZ300104,2018-03-05 00:00:00,dispute
5870,SH601088,SH600795,2018-03-05 00:00:00,cooperate
300,SH601919,SZ000166,2018-03-06 00:00:00,same_industry
4264,SH600547,SH600219,2018-03-06 00:00:00,increase_holding
4810,SH600219,SH600547,2018-03-06 00:00:00,increase_holding
2518,SZ000166,SH601919,2018-03-06 00:00:00,same_industry
358,SH600816,SH600143,2018-03-07 00:00:00,same_industry
4706,SZ000166,SZ002001,2018-03-07 00:00:00,increase_holding
3989,SH600143,SH600816,2018-03-07 00:00:00,same_industry
4628,SZ002001,SZ000166,2018-03-07 00:00:00,increase_holding
11390,SZ000858,SZ002304,2018-03-08 00:00:00,rise
11682,SZ000338,SH601988,2018-03-08 00:00:00,reduce_holding
9566,SZ002304,SZ000858,2018-03-08 00:00:00,rise
11671,SH601988,SZ000338,2018-03-08 00:00:00,reduce_holding
2949,SZ300450,SH601099,2018-03-09 00:00:00,same_industry
3399,SZ002352,SZ002120,2018-03-09 00:00:00,same_industry
1699,SZ002120,SZ002352,2018-03-09 00:00:00,same_industry
2180,SH601099,SZ300450,2018-03-09 00:00:00,same_industry
1541,SH600050,SH601066,2018-03-11 00:00:00,same_industry
837,SH601066,SH600050,2018-03-11 00:00:00,same_industry
5548,SZ300450,SZ300750,2018-03-12 00:00:00,supply
8807,SH600048,SH600340,2018-03-12 00:00:00,fall
2539,SZ000166,SH601288,2018-03-12 00:00:00,same_industry
5219,SZ300750,SZ300450,2018-03-12 00:00:00,supply
8452,SH600340,SH600048,2018-03-12 00:00:00,fall
3091,SH601288,SZ000166,2018-03-12 00:00:00,same_industry
9967,SH601995,SH601288,2018-03-13 00:00:00,rise
393,SH601162,SZ300750,2018-03-13 00:00:00,same_industry
5463,SZ002466,SZ300750,2018-03-13 00:00:00,supply
4827,SH601288,SZ000166,2018-03-13 00:00:00,increase_holding
10939,SH601288,SH601995,2018-03-13 00:00:00,rise
5229,SZ300750,SZ002466,2018-03-13 00:00:00,supply
3400,SZ002352,SZ000029,2018-03-13 00:00:00,same_industry
3072,SH601288,SZ000661,2018-03-13 00:00:00,same_industry
7770,SH600066,SH600019,2018-03-13 00:00:00,cooperate
2033,SZ000661,SH601288,2018-03-13 00:00:00,same_industry
1030,SZ000029,SZ002352,2018-03-13 00:00:00,same_industry
7077,SH600019,SH600066,2018-03-13 00:00:00,cooperate
4714,SZ000166,SH601288,2018-03-13 00:00:00,increase_holding
1102,SZ300750,SH601162,2018-03-13 00:00:00,same_industry
53,SH601988,SZ000402,2018-03-13 22:09:00,same_industry
468,SZ000402,SH601988,2018-03-13 22:09:00,same_industry
7912,SH600588,SH601788,2018-03-14 00:00:00,fall
4825,SH601288,SH601066,2018-03-14 00:00:00,increase_holding
6120,SZ002603,SH600998,2018-03-14 00:00:00,cooperate
4893,SH601375,SH601288,2018-03-14 00:00:00,increase_holding
4368,SH601066,SH601288,2018-03-14 00:00:00,increase_holding
7760,SH600998,SZ002603,2018-03-14 00:00:00,cooperate
8986,SH601788,SH600588,2018-03-14 00:00:00,fall
4823,SH601288,SH601375,2018-03-14 00:00:00,increase_holding
840,SH601066,SZ000001,2018-03-15 00:00:00,same_industry
4981,SH601688,SZ000001,2018-03-15 00:00:00,increase_holding
5596,SZ000725,SZ000960,2018-03-15 00:00:00,supply
5166,SZ000960,SZ000725,2018-03-15 00:00:00,supply
7689,SH601688,SH600919,2018-03-15 00:00:00,cooperate
7649,SH600919,SH601688,2018-03-15 00:00:00,cooperate
4664,SZ000001,SH601688,2018-03-15 00:00:00,increase_holding
5454,SH601238,SZ002920,2018-03-15 00:00:00,supply
2306,SZ000001,SH601066,2018-03-15 00:00:00,same_industry
5217,SZ002920,SH601238,2018-03-15 00:00:00,supply
4730,SH601555,SZ300316,2018-03-16 00:00:00,increase_holding
5558,SH688036,SZ002600,2018-03-16 00:00:00,supply
4895,SZ300316,SH601555,2018-03-16 00:00:00,increase_holding
5426,SZ002600,SH688036,2018-03-16 00:00:00,supply
3449,SH600016,SZ000001,2018-03-17 00:00:00,same_industry
2303,SZ000001,SH600016,2018-03-17 00:00:00,same_industry
12747,SZ000002,SZ000728,2018-03-19 00:00:00,dispute
5228,SZ300750,SZ002371,2018-03-19 00:00:00,supply
5306,SZ002371,SZ300750,2018-03-19 00:00:00,supply
11971,SZ000027,SZ300750,2018-03-19 00:00:00,invest
11900,SZ300750,SZ000027,2018-03-19 00:00:00,invest
12947,SZ000728,SZ000002,2018-03-19 00:00:00,dispute
7424,SZ000725,SH601398,2018-03-20 00:00:00,cooperate
7583,SH601398,SZ000725,2018-03-20 00:00:00,cooperate
4876,SZ300059,SZ000686,2018-03-20 00:00:00,increase_holding
4590,SZ000686,SZ300059,2018-03-20 00:00:00,increase_holding
7468,SH600315,SH600436,2018-03-21 00:00:00,cooperate
7688,SH601688,SH600050,2018-03-21 00:00:00,cooperate
7206,SH600436,SH600315,2018-03-21 00:00:00,cooperate
6480,SH600050,SH601688,2018-03-21 00:00:00,cooperate
8445,SZ002508,SH600887,2018-03-22 00:00:00,fall
770,SH603233,SZ002939,2018-03-22 00:00:00,same_industry
4877,SZ300059,SH601211,2018-03-22 00:00:00,increase_holding
4945,SH601211,SZ300059,2018-03-22 00:00:00,increase_holding
1039,SZ002939,SH603233,2018-03-22 00:00:00,same_industry
8799,SH600887,SZ002508,2018-03-22 00:00:00,fall
1150,SZ002044,SH601628,2018-03-23 00:00:00,same_industry
1573,SH600028,SZ000166,2018-03-23 00:00:00,same_industry
