,e1,e2,r
382,SH600999,SZ000627,SW_industry
383,SH600999,SH601319,SW_industry
384,SH600999,SH601628,SW_industry
385,SH600999,SH600643,SW_industry
386,SH600999,SH600390,SW_industry
387,SH600999,SH600705,SW_industry
388,SH600999,SH600061,SW_industry
389,SH600999,SH600816,SW_industry
390,SH600999,SZ000415,SW_industry
391,SH601838,SH600000,SW_industry
392,SH601838,SH600016,SW_industry
393,SH601838,SH600036,SW_industry
394,SH601838,SH601166,SW_industry
395,SH601838,SH601818,SW_industry
396,SH601838,SH600015,SW_industry
397,SH601838,SH601998,SW_industry
398,SH601838,SH601916,SW_industry
399,SH601838,SZ000001,SW_industry
400,SH601838,SZ002839,SW_industry
401,SH601838,SH601077,SW_industry
402,SH601838,SZ002958,SW_industry
403,SH601838,SH601398,SW_industry
404,SH601838,SH601288,SW_industry
405,SH601838,SH601328,SW_industry
406,SH600588,SZ002236,SW_industry
407,SH600588,SZ002415,SW_industry
408,SH600588,SZ000066,SW_industry
409,SH600588,SH603019,SW_industry
410,SH600588,SZ002152,SW_industry
411,SH600588,SZ000977,SW_industry
412,SH600588,SH600100,SW_industry
413,SH600588,SZ002195,SW_industry
414,SH600588,SZ000938,SW_industry
415,SH600588,SZ002065,SW_industry
416,SH600588,SZ000555,SW_industry
417,SH600588,SH600718,SW_industry
418,SH600588,SZ300496,SW_industry
419,SH600588,SH600271,SW_industry
420,SH600588,SH600845,SW_industry
421,SH600588,SH600797,SW_industry
422,SH600588,SH600446,SW_industry
423,SH600588,SZ300168,SW_industry
424,SH600588,SZ300017,SW_industry
425,SH600307,SH600117,SW_industry
426,SH600307,SZ000825,SW_industry
427,SH600307,SZ000708,SW_industry
428,SH600307,SH600516,SW_industry
429,SH600307,SZ000629,SW_industry
430,SH600307,SH601969,SW_industry
431,SZ002128,SZ000723,SW_industry
432,SZ002128,SH600997,SW_industry
433,SZ000536,SH600460,SW_industry
434,SZ000536,SH600584,SW_industry
435,SZ000536,SZ002049,SW_industry
436,SZ000536,SH688008,SW_industry
437,SZ000536,SZ300223,SW_industry
438,SZ000536,SH603986,SW_industry
439,SZ000536,SH603501,SW_industry
440,SZ000536,SZ002371,SW_industry
441,SZ000536,SH688012,SW_industry
442,SZ000536,SZ300661,SW_industry
443,SZ000536,SZ300782,SW_industry
444,SZ000536,SH603160,SW_industry
445,SZ000536,SH688036,SW_industry
446,SZ000536,SH600745,SW_industry
447,SZ000536,SZ000021,SW_industry
448,SZ000536,SZ002475,SW_industry
449,SZ000536,SZ002600,SW_industry
450,SZ000536,SZ002925,SW_industry
451,SZ000536,SH601231,SW_industry
452,SZ000536,SZ002241,SW_industry
453,SZ000536,SZ300433,SW_industry
454,SZ000536,SZ300136,SW_industry
455,SZ000536,SH601138,SW_industry
456,SZ000536,SZ002916,SW_industry
457,SZ000536,SZ002938,SW_industry
458,SZ000536,SH600183,SW_industry
459,SZ000536,SZ002384,SW_industry
460,SZ000536,SZ002463,SW_industry
461,SZ000536,SZ000636,SW_industry
462,SZ000536,SZ300408,SW_industry
463,SH600812,SZ300122,SW_industry
464,SH600812,SZ300142,SW_industry
465,SH600812,SZ300601,SW_industry
466,SH600812,SH600739,SW_industry
467,SH600812,SZ002038,SW_industry
468,SH600812,SH600682,SW_industry
469,SH600812,SZ000661,SW_industry
470,SH600812,SH600867,SW_industry
471,SH600812,SZ002007,SW_industry
472,SH600812,SH600161,SW_industry
473,SH600812,SZ002252,SW_industry
474,SH600812,SH603939,SW_industry
475,SH600812,SH603233,SW_industry
476,SH600812,SZ002411,SW_industry
477,SH600812,SZ300760,SW_industry
478,SH600812,SH603658,SW_industry
479,SH600812,SZ300676,SW_industry
480,SH600812,SZ300595,SW_industry
481,SH600812,SZ300529,SW_industry
482,SH600812,SZ300677,SW_industry
483,SH600812,SZ300003,SW_industry
484,SH600812,SH600535,SW_industry
485,SH600812,SZ002603,SW_industry
486,SH600812,SH603858,SW_industry
487,SH600812,SZ000999,SW_industry
488,SH600812,SZ002275,SW_industry
489,SH600812,SH600566,SW_industry
490,SH600812,SH600332,SW_industry
491,SH600812,SZ002424,SW_industry
492,SH600812,SH600085,SW_industry
493,SH600812,SZ000538,SW_industry
494,SH600812,SZ000423,SW_industry
495,SH600812,SH600518,SW_industry
496,SH600812,SH600436,SW_industry
497,SH600812,SH600252,SW_industry
498,SH600812,SH603882,SW_industry
499,SH600812,SZ002044,SW_industry
500,SH600812,SH600763,SW_industry
501,SH600812,SZ300015,SW_industry
502,SH600812,SZ300347,SW_industry
503,SH600812,SH603259,SW_industry
504,SH600812,SZ002821,SW_industry
505,SH600812,SZ300759,SW_industry
506,SZ000761,SH600117,SW_industry
507,SZ000761,SZ000825,SW_industry
508,SZ000761,SZ000708,SW_industry
509,SZ000761,SH600516,SW_industry
510,SZ000761,SZ000629,SW_industry
511,SZ000761,SH601969,SW_industry
512,SZ002153,SZ002236,SW_industry
513,SZ002153,SZ002415,SW_industry
514,SZ002153,SZ000066,SW_industry
515,SZ002153,SH603019,SW_industry
516,SZ002153,SZ002152,SW_industry
517,SZ002153,SZ000977,SW_industry
518,SZ002153,SH600100,SW_industry
519,SZ002153,SZ002195,SW_industry
520,SZ002153,SZ000938,SW_industry
521,SZ002153,SZ002065,SW_industry
522,SZ002153,SZ000555,SW_industry
523,SZ002153,SH600718,SW_industry
524,SZ002153,SZ300496,SW_industry
525,SZ002153,SH600271,SW_industry
526,SZ002153,SH600845,SW_industry
527,SZ002153,SH600797,SW_industry
528,SZ002153,SH600446,SW_industry
529,SZ002153,SZ300168,SW_industry
530,SZ002153,SZ300017,SW_industry
531,SH600233,SH600428,SW_industry
532,SH600233,SH601919,SW_industry
533,SH600233,SH601872,SW_industry
534,SH600233,SH601866,SW_industry
535,SH600233,SH600026,SW_industry
536,SH600233,SH600029,SW_industry
537,SH600233,SH603885,SW_industry
538,SH600233,SH601111,SW_industry
539,SH600233,SH600221,SW_industry
540,SH600233,SH601021,SW_industry
541,SH600233,SH600115,SW_industry
542,SH600233,SH600004,SW_industry
543,SH600233,SZ000089,SW_industry
544,SH600233,SH600009,SW_industry
545,SH600233,SH600611,SW_industry
546,SH600233,SH600269,SW_industry
547,SH600233,SH600350,SW_industry
548,SH600233,SZ000755,SW_industry
549,SH600233,SH600020,SW_industry
550,SH600233,SZ000088,SW_industry
551,SH600233,SH601107,SW_industry
552,SH600233,SH600377,SW_industry
553,SH600233,SZ000900,SW_industry
554,SH600233,SH600548,SW_industry
555,SH600233,SH600033,SW_industry
556,SH600233,SZ000828,SW_industry
557,SH600233,SZ001965,SW_industry
558,SH600233,SH600035,SW_industry
559,SH600233,SH601333,SW_industry
560,SH600233,SH601006,SW_industry
561,SH600276,SZ300122,SW_industry
562,SH600276,SZ300142,SW_industry
563,SH600276,SZ300601,SW_industry
564,SH600276,SH600739,SW_industry
565,SH600276,SZ002038,SW_industry
566,SH600276,SH600682,SW_industry
567,SH600276,SZ000661,SW_industry
568,SH600276,SH600867,SW_industry
569,SH600276,SZ002007,SW_industry
570,SH600276,SH600161,SW_industry
571,SH600276,SZ002252,SW_industry
572,SH600276,SH603939,SW_industry
573,SH600276,SH603233,SW_industry
574,SH600276,SZ002411,SW_industry
575,SH600276,SZ300760,SW_industry
576,SH600276,SH603658,SW_industry
577,SH600276,SZ300676,SW_industry
578,SH600276,SZ300595,SW_industry
579,SH600276,SZ300529,SW_industry
580,SH600276,SZ300677,SW_industry
581,SH600276,SZ300003,SW_industry
582,SH600276,SH600535,SW_industry
583,SH600276,SZ002603,SW_industry
584,SH600276,SH603858,SW_industry
585,SH600276,SZ000999,SW_industry
586,SH600276,SZ002275,SW_industry
587,SH600276,SH600566,SW_industry
588,SH600276,SH600332,SW_industry
589,SH600276,SZ002424,SW_industry
590,SH600276,SH600085,SW_industry
591,SH600276,SZ000538,SW_industry
592,SH600276,SZ000423,SW_industry
593,SH600276,SH600518,SW_industry
594,SH600276,SH600436,SW_industry
595,SH600276,SH600252,SW_industry
596,SH600276,SH603882,SW_industry
597,SH600276,SZ002044,SW_industry
598,SH600276,SH600763,SW_industry
599,SH600276,SZ300015,SW_industry
600,SH600276,SZ300347,SW_industry
601,SH600276,SH603259,SW_industry
602,SH600276,SZ002821,SW_industry
603,SH600276,SZ300759,SW_industry
604,SZ002049,SH688036,SW_industry
605,SZ002049,SH600745,SW_industry
606,SZ002049,SZ000021,SW_industry
607,SZ002049,SZ002475,SW_industry
608,SZ002049,SZ002600,SW_industry
609,SZ002049,SZ002925,SW_industry
610,SZ002049,SH601231,SW_industry
611,SZ002049,SZ002241,SW_industry
612,SZ002049,SZ300433,SW_industry
613,SZ002049,SZ300136,SW_industry
614,SZ002049,SH601138,SW_industry
615,SZ002049,SZ000100,SW_industry
616,SZ002049,SZ002106,SW_industry
617,SZ002049,SH600666,SW_industry
618,SZ002049,SZ000725,SW_industry
619,SZ002049,SZ000413,SW_industry
620,SZ002049,SZ000536,SW_industry
621,SZ002049,SZ300296,SW_industry
622,SZ002049,SH600703,SW_industry
623,SZ002049,SZ002456,SW_industry
624,SZ002049,SZ002916,SW_industry
625,SZ002049,SZ002938,SW_industry
626,SZ002049,SH600183,SW_industry
627,SZ002049,SZ002384,SW_industry
628,SZ002049,SZ002463,SW_industry
629,SZ002049,SZ000636,SW_industry
630,SZ002049,SZ300408,SW_industry
631,SH600535,SZ300122,SW_industry
632,SH600535,SZ300142,SW_industry
633,SH600535,SZ300601,SW_industry
634,SH600535,SH600739,SW_industry
635,SH600535,SZ002038,SW_industry
636,SH600535,SH600682,SW_industry
637,SH600535,SZ000661,SW_industry
638,SH600535,SH600867,SW_industry
639,SH600535,SZ002007,SW_industry
640,SH600535,SH600161,SW_industry
641,SH600535,SZ002252,SW_industry
642,SH600535,SH600216,SW_industry
643,SH600535,SZ002399,SW_industry
644,SH600535,SZ002001,SW_industry
645,SH600535,SH600267,SW_industry
646,SH600535,SH600812,SW_industry
647,SH600535,SH600276,SW_industry
648,SH600535,SZ002422,SW_industry
649,SH600535,SH600196,SW_industry
650,SH600535,SH600079,SW_industry
651,SH600535,SZ002773,SW_industry
652,SH600535,SH600851,SW_industry
653,SH600535,SZ002653,SW_industry
654,SH600535,SZ002294,SW_industry
655,SH600535,SH600380,SW_industry
656,SH600535,SZ300558,SW_industry
657,SH600535,SZ000623,SW_industry
658,SH600535,SH600521,SW_industry
659,SH600535,SZ000963,SW_industry
660,SH600535,SH600062,SW_industry
661,SH600535,SH600664,SW_industry
662,SH600535,SH603939,SW_industry
663,SH600535,SH603233,SW_industry
664,SH600535,SZ002411,SW_industry
665,SH600535,SZ300760,SW_industry
666,SH600535,SH603658,SW_industry
667,SH600535,SZ300676,SW_industry
668,SH600535,SZ300595,SW_industry
669,SH600535,SZ300529,SW_industry
670,SH600535,SZ300677,SW_industry
671,SH600535,SZ300003,SW_industry
672,SH600535,SH603882,SW_industry
673,SH600535,SZ002044,SW_industry
674,SH600535,SH600763,SW_industry
675,SH600535,SZ300015,SW_industry
676,SH600535,SZ300347,SW_industry
677,SH600535,SH603259,SW_industry
678,SH600535,SZ002821,SW_industry
679,SH600535,SZ300759,SW_industry
680,SH600151,SH601877,SW_industry
681,SH600151,SZ002498,SW_industry
682,SH600151,SH600089,SW_industry
683,SH600151,SZ002028,SW_industry
684,SH600151,SH601179,SW_industry
685,SH600151,SH600550,SW_industry
686,SH600151,SH600517,SW_industry
687,SH600151,SH600312,SW_industry
688,SH600151,SH600406,SW_industry
689,SH600151,SZ000682,SW_industry
690,SH600151,SZ000400,SW_industry
691,SH600151,SH601727,SW_industry
692,SH600151,SH600875,SW_industry
693,SH600151,SZ002202,SW_industry
694,SH600151,SZ300014,SW_industry
695,SH600151,SZ300750,SW_industry
696,SH600151,SZ300207,SW_industry
697,SH600151,SZ002074,SW_industry
698,SH600151,SH603659,SW_industry
699,SH600151,SZ002709,SW_industry
700,SH600151,SZ000009,SW_industry
701,SH600151,SZ002812,SW_industry
702,SH600151,SH688005,SW_industry
703,SH600151,SZ300450,SW_industry
704,SZ002608,SH600635,SW_industry
705,SZ002608,SH601139,SW_industry
706,SH601006,SH600428,SW_industry
707,SH601006,SH601919,SW_industry
708,SH601006,SH601872,SW_industry
709,SH601006,SH601866,SW_industry
710,SH601006,SH600026,SW_industry
711,SH601006,SZ002183,SW_industry
712,SH601006,SZ002010,SW_industry
713,SH601006,SH600153,SW_industry
714,SH601006,SH600704,SW_industry
715,SH601006,SZ002468,SW_industry
716,SH601006,SZ002120,SW_industry
717,SH601006,SH600233,SW_industry
718,SH601006,SZ002352,SW_industry
719,SH601006,SH600787,SW_industry
720,SH601006,SH600029,SW_industry
721,SH601006,SH603885,SW_industry
722,SH601006,SH601111,SW_industry
723,SH601006,SH600221,SW_industry
724,SH601006,SH601021,SW_industry
725,SH601006,SH600115,SW_industry
726,SH601006,SH600004,SW_industry
727,SH601006,SZ000089,SW_industry
728,SH601006,SH600009,SW_industry
729,SZ002736,SH601336,SW_industry
730,SZ002736,SH601601,SW_industry
731,SZ002736,SH601318,SW_industry
732,SZ002736,SZ000627,SW_industry
733,SZ002736,SH601319,SW_industry
734,SZ002736,SH601628,SW_industry
735,SZ002736,SH600643,SW_industry
736,SZ002736,SH600390,SW_industry
737,SZ002736,SH600705,SW_industry
738,SZ002736,SH600061,SW_industry
739,SZ002736,SH600816,SW_industry
740,SZ002736,SZ000415,SW_industry
