,e1,e2,time
539,SH600104,SH600660,2018-10-01
540,SH600104,SH600741,2018-10-01
541,SH600104,SH601163,2018-10-01
542,SH600104,SZ002085,2018-10-01
543,SH600104,SH601966,2018-10-01
544,SH600104,SZ000338,2018-10-01
545,SH600104,SZ000581,2018-10-01
546,SH600104,SZ000559,2018-10-01
547,SH600110,SZ000970,2018-10-01
548,SH600110,SZ000969,2018-10-01
549,SH600110,SZ000831,2018-10-01
550,SH600110,SH600111,2018-10-01
551,SH600110,SH600259,2018-10-01
552,SH600110,SH600456,2018-10-01
553,SH600110,SZ000962,2018-10-01
554,SH600110,SZ000960,2018-10-01
555,SH600110,SH601958,2018-10-01
556,SH600110,SH603993,2018-10-01
557,SH600110,SZ002378,2018-10-01
558,SH600110,SH600549,2018-10-01
559,SH600110,SH601212,2018-10-01
560,SH600110,SZ002155,2018-10-01
561,SH600110,SH600489,2018-10-01
562,SH600110,SH600547,2018-10-01
563,SH600110,SZ002466,2018-10-01
564,SH600110,SZ002460,2018-10-01
565,SH600110,SH603799,2018-10-01
566,SH600117,SZ002110,2018-10-01
567,SH600117,SH600231,2018-10-01
568,SH600117,SZ000717,2018-10-01
569,SH600117,SH600010,2018-10-01
570,SH600117,SZ000898,2018-10-01
571,SH600117,SH601005,2018-10-01
572,SH600117,SZ000709,2018-10-01
573,SH600117,SH600782,2018-10-01
574,SH600117,SZ000932,2018-10-01
575,SH600117,SH600019,2018-10-01
576,SH600117,SH600307,2018-10-01
577,SH600117,SH600569,2018-10-01
578,SH600117,SZ000761,2018-10-01
579,SH600117,SH600022,2018-10-01
580,SH600117,SZ000959,2018-10-01
581,SH600117,SH600808,2018-10-01
582,SH600117,SH600282,2018-10-01
583,SH600117,SZ000778,2018-10-01
584,SH600117,SH600516,2018-10-01
585,SH600117,SZ000629,2018-10-01
586,SH600117,SH601969,2018-10-01
587,SH600118,SZ002025,2018-10-01
588,SH600118,SZ002179,2018-10-01
589,SH600118,SZ002465,2018-10-01
590,SH600118,SZ000768,2018-10-01
591,SH600118,SH600038,2018-10-01
592,SH600118,SH600760,2018-10-01
593,SH600118,SH600372,2018-10-01
594,SH600118,SH600316,2018-10-01
595,SH600118,SZ002625,2018-10-01
596,SH600118,SH600893,2018-10-01
597,SH600118,SH600482,2018-10-01
598,SH600118,SH600150,2018-10-01
599,SH600118,SH600685,2018-10-01
600,SH600118,SH601989,2018-10-01
601,SH600121,SZ000723,2018-10-01
602,SH600121,SH600997,2018-10-01
603,SH600123,SZ000723,2018-10-01
604,SH600123,SH600997,2018-10-01
605,SH600132,SH603288,2018-10-01
606,SH600132,SH600873,2018-10-01
607,SH600132,SH600073,2018-10-01
608,SH600132,SZ000895,2018-10-01
609,SH600132,SZ300146,2018-10-01
610,SH600132,SH600887,2018-10-01
611,SH600132,SH600597,2018-10-01
612,SH600132,SH603156,2018-10-01
613,SH600132,SH600300,2018-10-01
614,SH600132,SH600809,2018-10-01
615,SH600132,SH600519,2018-10-01
616,SH600132,SZ002304,2018-10-01
617,SH600132,SH600779,2018-10-01
618,SH600132,SZ000568,2018-10-01
619,SH600132,SZ000596,2018-10-01
620,SH600132,SZ000858,2018-10-01
621,SH600143,SH603260,2018-10-01
